epoch;loss;lr;val_loss
0;12.01279075270431;0.0005;6.7809575477718145
1;5.865870801609155;0.0005;4.222372348999744
2;4.3463142464671;0.0005;3.539021342507403
3;3.7266160301591476;0.0005;3.1958679318039738
4;3.2784555731188973;0.0005;2.9440598055380565
5;3.0331744623411705;0.0005;2.745713965415178
6;2.873086001577265;0.0005;2.5637390595596856
7;2.7438232912549507;0.0005;2.560720124442725
8;2.6410852849098543;0.0005;2.4327394236182545
9;2.5554551130960825;0.0005;2.455143758596349
10;2.4789992398829224;0.0005;2.2942534077196632
11;2.4104277241925;0.0005;2.3749956879825467
12;2.351106333186047;0.0005;2.326304121155304
13;2.308494090345536;0.0005;2.3240879639643413
14;2.3081111774319316;0.0005;2.229133296818609
15;2.2710897954074736;0.0005;2.1889987428238804
16;2.2066679327731538;0.0005;2.1696047754745917
17;2.1825064014891176;0.0005;2.2599634774247677
18;2.1545735938134127;0.0005;2.2085991528504056
19;2.13830632112854;0.0005;2.209729425609112
