epoch;loss;val_loss
0;16.775793141092993;13.217804158549356
1;11.928302701303192;10.089184463606594
2;9.441141819228411;7.441165169597837
3;7.501155505333228;5.883698293751148
4;6.322081600509264;5.070853530389867
5;5.581423041041889;4.556559586757945
6;5.07005816930084;4.225827684425764
7;4.69719679361725;3.906643485984119
8;4.415170209226222;3.6749051372469053
9;4.18142611009951;3.4413922279587785
10;3.9744426810097067;3.2415698977363228
11;3.8065402615567656;3.1504225527036462
12;3.6375846400368848;3.058223539726742
13;3.5469078015731794;2.9165898795430745
14;3.422315771260547;2.78330790744154
15;3.315378316765078;2.8244317461302693
16;3.2187378983358346;2.701976830728279
17;3.1617660123258595;2.66142900914245
18;3.0695784137657802;2.5977282057173476
19;3.0090455797848197;2.5794329350080085
20;2.9499192117340742;2.4763701122242
21;2.889849672470375;2.5570696999079243
22;2.8280571063838162;2.425512101125057
23;2.790702787055016;2.4129595288624595
24;2.749775291661383;2.4343765205931196
25;2.684882450486628;2.4514931413172123
26;2.673313950513638;2.2888664384084336
27;2.6489125192009313;2.3815118758560003
28;2.5854620356178826;2.3018976837299547
29;2.562555578631409;2.2506093582326505
30;2.512486562437153;2.281179865524901
31;2.498304471374425;2.4281383164785195
32;2.5951857007825367;2.2286071889709183
33;2.486804772857014;2.180970487746043
34;2.448619155759773;2.1440604569857595
35;2.371157146671676;2.113943763101528
36;2.350585362644812;2.103236988380988
37;2.3931191544636263;2.1785148919016994
38;2.3140219424194974;2.1293515077388636
39;2.2698409752469972;2.1354659129091895
40;2.274296411625508;2.1003835662495622
41;2.218998819225474;2.006770403794823
42;2.2501758624033172;2.0475435974349416
43;2.2101491495646988;2.020647334766116
44;2.4086371704519;8.790064130621547
45;2.2424561136082537;1.9465782338880755
46;2.1441225897213645;1.9550289700372017
47;2.1726679033135676;2.1159852404839055
48;2.123277271228109;1.9667996672446253
49;2.136820705504902;1.9784123329051349
50;2.0759932051388432;1.9228840201413593
51;2.108222340087155;1.9961095586758872
52;2.0575159697096517;1.8922370476981911
53;2.058545006641426;1.993191579314319
54;2.001748144092544;1.9817663935355916
55;2.0061673225203465;1.9382722796902594
56;1.9811785628885514;1.9363428626197363
57;1.982495821967774;1.914627219231781
58;1.9638575000684424;1.9062391440429594
59;1.953226081121375;1.8822967058187199
60;1.9551063678634586;1.8966456316654186
61;1.9682754995505654;1.9106790370486846
62;1.9298942418784284;1.8613244295726965
63;1.9917661693733304;1.874867857679579
64;1.8948500362679674;1.8615507755295073
65;1.871556952249777;1.857510896029515
66;1.9069797643911446;1.930809016846096
67;1.8690796122254034;1.820194912898424
68;1.9469233593381277;1.8361767365412138
69;1.938719309903276;1.9245797005946161
70;1.8754426853423163;1.8102490276049714
71;1.9116323863904416;1.9227006526524353
72;1.8415530669551845;1.8427549727103318
73;1.8276375653807972;1.8468100260033087
74;1.8161673637808962;1.8275132072234
75;1.7765483270992248;1.826282655098248
76;1.7781281467819114;1.8178519776594562
77;1.801052601636583;1.8367175017316684
78;1.7655098687049127;1.7621816289808345
79;1.7452080955733982;1.85604946316502
80;1.7497288076940851;1.7921395088979786
81;1.7140889945226223;1.7730096037642187
82;1.7462176956080735;1.9501604610380598
83;1.7626820307353088;1.7520509982657548
84;1.7192047895892806;1.8008181032897594
85;1.7181741964541688;1.79662225746128
86;1.6762861235070174;1.7308840449802358
87;1.6759405823432802;1.7867206662699144
88;1.6528591873907685;1.75970825754373
89;1.6376404434428649;1.7372475472136313
90;1.625789505160416;1.7383363791513908
91;1.6147649428319673;1.7231553790526593
92;1.6055293437569265;1.707260366668773
93;1.5827051605126505;1.7450502879966159
94;1.590523840311262;1.71726342438074
95;1.5678233056324151;1.7530742878221728
96;1.5548946580653376;1.713598598450034
97;1.5631557984446995;1.7235727097341602
98;1.5433434506705614;1.7484447190883883
99;1.5376059482645847;1.6931023175254805
