epoch;loss;lr;val_loss
0;10.808241458423836;0.0005;5.150215664010871
1;4.998024294019446;0.0005;3.6789129906446227
2;3.9869591641080673;0.0005;3.111121845944308
3;3.4905945728876246;0.0005;2.85781907753758
4;3.1825936859680692;0.0005;2.6757129328841107
5;2.9733441871186512;0.0005;2.5440973436599448
6;2.8025137065779915;0.0005;2.44545195690972
7;2.6782152608835506;0.0005;2.3878387131209484
8;2.5671815800196547;0.0005;2.2742127871280386
9;2.4856036104404495;0.0005;2.173509413503863
10;2.398913526185459;0.0005;2.1665352929492725
11;2.354247343656717;0.0005;2.135121657133879
12;2.2954928543497326;0.0005;2.1008967239082055
13;2.243097738354883;0.0005;2.0558831208789
14;2.2126654008022046;0.0005;2.051503936514404
15;2.164941207535945;0.0005;2.102933388166979
16;2.1127728576809144;0.0005;1.980169947389574
17;2.082495307488169;0.0005;1.9286776150088356
18;2.0580716183715904;0.0005;1.889227339785534
19;2.0263221487502623;0.0005;1.8904215451269275
20;2.001951505516797;0.0005;2.0226359539923138
21;1.9815812049707886;0.0005;1.8894060913242812
22;1.9553267013869193;0.0005;1.8688966807354157
23;1.9413785269145685;0.0005;1.8941284372965754
24;1.9296873309762508;0.0005;1.8578588171871167
25;1.888937743017934;0.0005;1.9729793701648517
26;1.8948236724611365;0.0005;1.833771778652839
27;1.8552567940035187;0.0005;1.8185407267913756
28;1.8532610983826932;0.0005;1.82297406510635
29;1.8423400654241788;0.0005;1.809053978406451
30;1.8422507972674838;0.0005;1.8518457014465566
31;1.8153410740545672;0.0005;1.826212974950817
32;1.8075375295249956;0.0005;1.8041199034971795
33;1.7934325078089712;0.0005;1.8090263400894229
34;1.7905798307030156;0.0005;1.7967926163092887
35;1.7872864460230027;0.0005;1.7768847739827556
36;1.7663253854032295;0.0005;1.7732271584849015
37;1.7398335977659638;0.0005;1.7716256499848653
38;1.739631396775166;0.0005;1.7720524697330953
39;1.7299483216938745;0.0005;1.7875942250270798
40;1.7365986759256733;0.0005;1.7461955690398472
41;1.7317531632664054;0.0005;1.8073390721546712
42;1.7204239907141665;0.0005;1.765505197442801
43;1.7114686468378677;0.0005;1.7342556481665237
44;1.7008702816271397;0.0005;1.8023065147065962
45;1.6984087480101528;0.0005;1.7631970968837654
46;1.6808999877273707;0.0005;1.740649030631839
47;1.682051542811059;0.0005;1.728342169841163
48;1.6725910535437583;0.0005;1.76833285902193
49;1.677579926025696;0.0005;1.7793692039987163
50;1.6739189883794516;0.0005;1.7412294675065174
51;1.6570919027290065;0.0005;1.7458326802968203
52;1.6609541934330148;0.0005;1.7129614847660648
53;1.6439051093241996;0.0005;1.7464530586662432
54;1.6594852547742118;0.0005;1.713389497844909
55;1.660743115296738;0.0005;1.7591765187923412
56;1.6623326662743412;0.0005;1.7942787619726277
57;1.6455961869650364;0.0005;1.7777090361190153
58;1.6447262568121328;0.0005;1.7471775365720355
59;1.6382593151567535;0.0005;1.7551785713419659
60;1.6462323812306943;0.0005;1.734105662239491
61;1.6273113794873202;0.0005;1.7580063329942839
62;1.6356674808201008;0.0005;1.7185379521684654
63;1.6251929213891183;0.0005;1.7020823918525676
64;1.640769576241904;0.0005;1.739758400810755
65;1.6172512254301163;0.0005;1.7282679583209928
66;1.6183551403960403;0.0005;1.725748944275251
