epoch;loss;val_loss
0;18.025028271319155;12.851568291940596
1;11.520867403205406;9.604875051237473
2;9.059030901389006;7.118727093022499
3;7.387624331791863;5.79586643427125
4;6.379101062033226;5.086819672817516
5;5.694581347304766;4.510608536801043
6;5.183506156134898;4.113439241527346
7;4.820054187265277;3.8716689657893166
8;4.532003652822661;3.642287053386241
9;4.30785228937384;3.4739325948375055
10;4.116973975985547;3.3521605321366934
11;3.9382557126526474;3.1885885542883545
12;3.8034488455457285;3.3605373533812717
13;3.6778676369402876;3.044797044623558
14;3.553370649946251;2.9110076020711406
15;3.450470285348509;2.8936110340811143
16;3.3603369197400443;2.779741793191394
17;3.2843330643970097;2.67726548986831
18;3.2034855494083323;2.6638003498412886
19;3.140576510118094;2.664937910942379
20;3.0597690091593948;2.6315527832080954
21;3.0138604748954445;2.559313225386974
22;2.9633839553602566;2.524909411462976
23;2.898088742000947;2.4698497840364126
24;2.84751284573308;2.462754072651801
25;2.807695888585845;2.501832468744598
26;2.791990069896477;2.3952933308647197
27;2.7369415691477776;2.3194961197407316
28;2.694077984425398;2.317664609038869
29;2.645607146277938;2.2751953771234725
30;2.611215691933521;2.3344734015022115
31;2.5934407652159623;2.263221603991154
32;2.560258267132089;2.2219954871781873
33;2.5357611874409867;2.1972932584996334
34;2.4998664241495465;2.1670650743215014
35;2.4759995527324885;2.2035101839016624
36;2.461642079304572;2.1916084184223354
37;2.4384446321284505;2.175400811268763
38;2.4099578718285413;2.178205015313742
39;2.3840462393374207;2.1947871549752715
40;2.3601514695340886;2.126510770536401
41;2.336755701916695;2.1234469108453404
42;2.30358713038854;2.208065919747958
43;2.291631742310495;2.0484820820561063
44;2.273779558049604;2.062047370045115
45;2.254083338832955;2.069655644388851
46;2.2439353123862977;2.0286412835849226
47;2.2202923010002777;2.026633338887451
48;2.19800984233838;2.0170160932678742
49;2.1736549146929884;1.9822392056693083
50;2.1668506793106888;2.0479785134039017
51;2.1461192696182048;1.9767499973797253
52;2.121957567394345;1.990593213648672
53;2.118463895982172;1.9508752174408506
54;2.0886395831219624;1.9309933324396027
55;2.076708172693395;1.9567878309406752
56;2.0536940078734798;1.9233331800429363
57;2.0326849780827216;1.923093755902413
58;2.038115682080063;1.9238776468007495
59;2.0138677255627497;1.9028387072857118
60;2.0021034294088356;1.8808577526664112
61;1.9854003113952476;1.8977468054292645
62;1.975327314992444;1.8710431193004602
63;1.9556287084150434;1.876812287815619
64;1.9562493933272305;1.867910112372633
65;1.9388710870379073;1.847685781431897
66;1.9199322734701978;1.8676189949875546
67;1.9156338560606871;1.8412731348109168
68;1.8946991409973553;1.8321917454320755
69;1.876049572699994;1.8270983808349321
70;1.880708605208835;1.8569579252590962
71;1.8701601207148808;1.8795877747747332
72;1.8607273121262162;1.8301433406357657
73;1.8300335474952587;1.8437762346834623
74;1.8192989509434587;1.823325012886369
75;1.8257091297711865;1.75875930297598
76;1.7986003021409585;1.7716045205144617
77;1.7976822161324923;1.7717436505208575
78;1.7843261396651868;1.8068514088417498
79;1.7709398948429087;1.7915790942088012
80;1.7719191431326413;1.7813812063746033
81;1.7696202461001773;1.7828313064206307
82;1.7443279587918012;1.7452316828897216
83;1.7467115867000576;1.7605323595046414
84;1.7239549835814283;1.73969438942665
85;1.7170592209008544;1.767708377773094
86;1.7083775498878548;1.7337887016176594
87;1.7082325470966355;1.7993759108458551
88;1.6913300801850797;1.7355860796687268
89;1.689548479199458;1.7521225583863957
90;1.6753816306920495;1.7388125904244205
91;1.6725589497180802;1.7461798326127498
92;1.6671027689955444;1.725056286889101
93;1.6594878749865238;1.751948730552915
94;1.651251611088752;1.7532061170968636
95;1.641985151002272;1.7376669827205544
96;1.6378307267828416;1.7348508340236806
97;1.6298842285862973;1.701076314466056
98;1.6212955510861837;1.744760453276312
99;1.6180165576124688;1.7201492232225035
